AdvancedDogTagData b7369219ec2a6f42bd0c5174effc6f8d #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/AHELISERVICESTAR50
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 2208310810
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_HELISERVICESTAR50
        DescriptionSID ID_DT_D_HELISERVICESTAR50
        ImageName UI/Art/Persistence/DogTag/AHELISERVICESTAR50
        SmallImageName UI/Art/Persistence/DogTag/AHELISERVICESTAR50_small
        Category DTC_ServiceStars
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode *nullString*
    IsStatMeasuredInTime False
    StatSID *nullString*
