AdvancedDogTagData ef8b2e2076cb2646b47d71f69fb88e62 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA049_JETSSERVICE
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 2544825849
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA049_JETSSERVICE
        DescriptionSID ID_DT_D_DTA049_JETSSERVICE
        ImageName UI/Art/Persistence/DogTag/dta049
        SmallImageName UI/Art/Persistence/DogTag/dta049_small
        Category DTC_Ranks
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_vmaJ__si_g
    IsStatMeasuredInTime True
    StatSID ID_DT_STAT_A049
PersistentCriteriaStatRef 4b4df06c3d6a064f9a0a0c6413be3592
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/awards/awards/d345221d76340b428ba1b9ad63684b46
    ParamX *nullGuid*
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
