BasicDogTagData a0c9a5b66953c6479eab821dc522558f #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB111_ATMINES
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1335583978
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB111_ATMINES
        DescriptionSID ID_DT_D_DTB111_ATMINES
        ImageName UI/Art/Persistence/DogTag/dtb111
        SmallImageName UI/Art/Persistence/DogTag/dtb111_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
