BasicDogTagData 69df081e76926846957585bb411bcba7 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB_ASVAL
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1562581787
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB_ASVAL
        DescriptionSID ID_DT_D_DTB_ASVAL
        ImageName UI/Art/Persistence/DogTag/asval_left
        SmallImageName UI/Art/Persistence/DogTag/asval_left_small
        Category DTC_ServiceStars
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
