SoldierWeaponUnlockAsset 1a2f89ba4c583b449eba6b4a3491251c #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/MP443/U_MP443_US
        UnlockUserData *nullGuid*
        DebugUnlockId U_MP443_US
        Identifier 4071678087
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/mp443/mp443/5698646eb6b5e4ac9dd6ab5fd6054acc
    Extra *nullGuid*
    WeaponIdentifier 699682388
